univName,greV,greQ,toeflScore,cgpa_converted
Worcester Polytechnic Institute,160.0,167.0,112.0,3.4
Worcester Polytechnic Institute,146.0,157.0,94.0,3.131
Worcester Polytechnic Institute,130.0,163.83,81.0,2.28
Worcester Polytechnic Institute,130.0,214.894,120.0,2.08
Worcester Polytechnic Institute,150.0,161.0,104.0,2.488
Worcester Polytechnic Institute,147.0,156.0,95.0,2.08
Worcester Polytechnic Institute,130.0,157.447,101.0,2.56
Worcester Polytechnic Institute,130.0,165.957,107.0,2.856
Worcester Polytechnic Institute,130.0,144.681,94.0,2.292
Worcester Polytechnic Institute,130.0,165.957,99.0,2.6
Worcester Polytechnic Institute,130.0,165.957,99.0,2.6
Worcester Polytechnic Institute,130.0,165.957,99.0,2.6
Worcester Polytechnic Institute,146.0,161.0,91.0,2.194
Worcester Polytechnic Institute,149.0,159.0,101.0,3.06
Worcester Polytechnic Institute,131.915,146.809,96.0,2.82
Worcester Polytechnic Institute,143.0,159.0,98.0,2.2
Worcester Polytechnic Institute,156.0,159.0,111.0,2.895
Worcester Polytechnic Institute,154.0,161.0,112.0,3.12
Worcester Polytechnic Institute,130.0,153.191,94.0,2.53
Worcester Polytechnic Institute,143.0,162.0,99.0,3.496
Worcester Polytechnic Institute,130.0,153.191,105.0,2.56
Worcester Polytechnic Institute,32.0,50.0,94.0,3.1
Worcester Polytechnic Institute,162.0,161.0,108.0,3.384
Worcester Polytechnic Institute,152.0,163.0,109.0,2.608
Worcester Polytechnic Institute,165.0,164.0,114.0,2.373
Worcester Polytechnic Institute,136.17,165.957,107.0,2.8
Worcester Polytechnic Institute,149.0,160.0,101.0,2.88
Worcester Polytechnic Institute,130.0,161.702,115.0,3.16
Worcester Polytechnic Institute,152.0,163.0,95.0,2.48
Worcester Polytechnic Institute,145.0,160.0,93.0,3.036
Worcester Polytechnic Institute,130.0,161.702,103.0,3.2
Worcester Polytechnic Institute,156.0,167.0,111.0,2.73
Worcester Polytechnic Institute,130.0,151.064,103.0,2.32
Worcester Polytechnic Institute,134.043,163.83,110.0,3.331
Worcester Polytechnic Institute,149.0,158.0,101.0,2.68
Worcester Polytechnic Institute,140.0,156.0,96.0,3.64
Worcester Polytechnic Institute,130.0,161.702,113.0,3.125
Worcester Polytechnic Institute,158.0,167.0,108.0,3.476
Worcester Polytechnic Institute,145.0,159.0,98.0,2.56
Worcester Polytechnic Institute,153.0,152.0,102.0,3.216
Worcester Polytechnic Institute,148.0,163.0,101.0,2.12
Worcester Polytechnic Institute,130.0,157.447,101.0,2.891
Worcester Polytechnic Institute,150.0,151.0,99.0,2.52
Worcester Polytechnic Institute,156.0,159.0,103.0,2.7
Worcester Polytechnic Institute,130.0,153.191,94.0,2.16
